date,act_symbol,period,period_end_date,consensus,recent,count,high,low,year_ago
2017-10-27,CNK,Current Quarter,2017-09-30,0.36,0.39,6,0.39,0.30,0.56
2017-10-27,CNMD,Current Quarter,2017-09-30,0.40,0.40,4,0.43,0.39,0.41
2017-10-27,CNNX,Current Quarter,2017-09-30,0.43,0.41,4,0.46,0.41,0.40
2017-10-27,CNO,Current Quarter,2017-12-31,0.42,,3,0.44,0.41,0.35
2017-10-27,CNOB,Current Quarter,2017-12-31,0.37,,2,0.37,0.36,0.40
2017-10-27,CNP,Current Quarter,2017-09-30,0.41,0.42,5,0.42,0.37,0.41
2017-10-27,CNQ,Current Quarter,2017-09-30,0.16,0.11,4,0.18,0.11,-0.24
2017-10-27,CNS,Current Quarter,2017-12-31,0.55,0.55,2,0.55,0.54,0.48
2017-10-27,CNSL,Current Quarter,2017-09-30,0.12,0.12,3,0.15,0.10,0.16
2017-10-27,CNTY,Current Quarter,2017-09-30,0.11,0.09,2,0.12,0.09,0.08
2017-10-27,CNX,Current Quarter,2017-09-30,0.00,-0.03,3,0.02,-0.03,-0.15
2017-10-27,CNXC,Current Quarter,2017-09-30,0.42,0.13,4,0.67,0.13,0.21
2017-10-27,CNXN,Current Quarter,2017-12-31,0.61,0.57,2,0.62,0.59,0.53
2017-10-27,COBZ,Current Quarter,2017-12-31,0.27,0.26,3,0.27,0.26,0.21
2017-10-27,CODI,Current Quarter,2017-09-30,0.48,0.45,4,0.53,0.45,0.72
2017-10-27,COF,Current Quarter,2017-12-31,1.82,1.85,11,1.95,1.62,1.45
2017-10-27,COG,Current Quarter,2017-09-30,0.08,0.06,11,0.12,0.05,-0.04
2017-10-27,COGT,Current Quarter,2017-09-30,-0.16,-0.18,2,-0.14,-0.18,-0.11
2017-10-27,COH,Current Quarter,2017-09-30,0.36,0.35,13,0.38,0.35,0.45
2017-10-27,COHR,Current Quarter,2017-09-30,3.42,3.42,2,3.42,3.42,1.65
2017-10-27,COHU,Current Quarter,2017-09-30,0.39,0.37,3,0.41,0.37,0.14
2017-10-27,COL,Current Quarter,2017-09-30,1.80,1.76,10,1.92,1.74,1.58
2017-10-27,COLB,Current Quarter,2017-12-31,0.56,0.52,3,0.58,0.52,0.53
2017-10-27,COLL,Current Quarter,2017-09-30,-0.74,-0.81,5,-0.67,-0.81,-1.13
2017-10-27,COLM,Current Quarter,2017-12-31,1.28,1.16,9,1.34,1.21,1.20
2017-10-27,COMM,Current Quarter,2017-09-30,0.54,999.00,6,0.56,0.52,0.81
2017-10-27,CONE,Current Quarter,2017-09-30,0.76,0.75,11,0.88,0.71,0.05
2017-10-27,CONN,Current Quarter,2017-10-31,0.01,-0.04,3,0.09,-0.04,-0.08
2017-10-27,COO,Current Quarter,2017-10-31,2.65,2.62,11,2.70,2.62,2.28
2017-10-27,COP,Current Quarter,2017-12-31,0.30,0.11,6,0.70,0.03,-0.26
2017-10-27,COR,Current Quarter,2017-12-31,1.13,1.09,7,1.16,1.10,0.44
2017-10-27,CORE,Current Quarter,2017-09-30,0.43,0.43,2,0.43,0.42,0.34
2017-10-27,CORI,Current Quarter,2017-09-30,-0.46,-0.49,2,-0.43,-0.49,-0.42
2017-10-27,CORR,Current Quarter,2017-09-30,1.07,1.03,2,1.11,1.03,0.68
2017-10-27,CORT,Current Quarter,2017-09-30,0.13,999.00,2,0.13,0.12,0.02
2017-10-27,COST,Current Quarter,2017-11-30,1.32,1.40,12,1.40,1.24,1.17
2017-10-27,COT,Current Quarter,2017-09-30,0.14,,2,0.14,0.14,0.09
2017-10-27,COTV,Current Quarter,2017-09-30,0.38,0.37,10,0.39,0.37,0.36
2017-10-27,COTY,Current Quarter,2017-09-30,0.07,0.07,9,0.10,0.04,0.23
2017-10-27,COUP,Current Quarter,2017-10-31,-0.11,-0.11,5,-0.11,-0.12,-0.22
